WORLD_QUERY0_TOP2_FROM10, Intersection, Precision=1.0, Recall=1.0
WORLD_QUERY0_TOP2_FROM10, Union, Precision=1.0, Recall=1.0
WORLD_QUERY0_TOP2_FROM10, FD, Precision=1.0, Recall=1.0
WORLD_QUERY0_TOP2_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
WORLD_QUERY0_TOP3_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP3_FROM10, Union, Precision=1.0, Recall=1.0
WORLD_QUERY0_TOP3_FROM10, FD, Precision=1.0, Recall=1.0
WORLD_QUERY0_TOP3_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
WORLD_QUERY0_TOP4_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP4_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP4_FROM10, FD, Precision=0.06666666666666667, Recall=1.0
WORLD_QUERY0_TOP4_FROM10, FDP_Plus, Precision=0.06666666666666667, Recall=1.0
,,,
WORLD_QUERY0_TOP5_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP5_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP5_FROM10, FD, Precision=0.06666666666666667, Recall=1.0
WORLD_QUERY0_TOP5_FROM10, FDP_Plus, Precision=0.06666666666666667, Recall=1.0
,,,
WORLD_QUERY0_TOP6_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP6_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP6_FROM10, FD, Precision=0.06666666666666667, Recall=1.0
WORLD_QUERY0_TOP6_FROM10, FDP_Plus, Precision=0.06666666666666667, Recall=1.0
,,,
WORLD_QUERY0_TOP7_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP7_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP7_FROM10, FD, Precision=0.06666666666666667, Recall=1.0
WORLD_QUERY0_TOP7_FROM10, FDP_Plus, Precision=0.06666666666666667, Recall=1.0
,,,
WORLD_QUERY0_TOP8_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP8_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP8_FROM10, FD, Precision=0.06666666666666667, Recall=1.0
WORLD_QUERY0_TOP8_FROM10, FDP_Plus, Precision=0.06666666666666667, Recall=1.0
,,,
WORLD_QUERY0_TOP9_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP9_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP9_FROM10, FD, Precision=0.06666666666666667, Recall=1.0
WORLD_QUERY0_TOP9_FROM10, FDP_Plus, Precision=0.06666666666666667, Recall=1.0
,,,
WORLD_QUERY0_TOP10_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP10_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY0_TOP10_FROM10, FD, Precision=0.06666666666666667, Recall=1.0
WORLD_QUERY0_TOP10_FROM10, FDP_Plus, Precision=0.06666666666666667, Recall=1.0
,,,
WORLD_QUERY1_TOP2_FROM10, Intersection, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP2_FROM10, Union, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP2_FROM10, FD, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP2_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
WORLD_QUERY1_TOP3_FROM10, Intersection, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP3_FROM10, Union, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP3_FROM10, FD, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP3_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
WORLD_QUERY1_TOP4_FROM10, Intersection, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP4_FROM10, Union, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP4_FROM10, FD, Precision=1.0, Recall=1.0
WORLD_QUERY1_TOP4_FROM10, FDP_Plus, Precision=1.0, Recall=1.0
,,,
WORLD_QUERY1_TOP5_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY1_TOP5_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY1_TOP5_FROM10, FD, Precision=0.25, Recall=1.0
WORLD_QUERY1_TOP5_FROM10, FDP_Plus, Precision=0.25, Recall=1.0
,,,
WORLD_QUERY1_TOP6_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY1_TOP6_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY1_TOP6_FROM10, FD, Precision=0.25, Recall=1.0
WORLD_QUERY1_TOP6_FROM10, FDP_Plus, Precision=0.25, Recall=1.0
,,,
WORLD_QUERY1_TOP7_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY1_TOP7_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY1_TOP7_FROM10, FD, Precision=0.25, Recall=1.0
WORLD_QUERY1_TOP7_FROM10, FDP_Plus, Precision=0.25, Recall=1.0
,,,
WORLD_QUERY1_TOP8_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY1_TOP8_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY1_TOP8_FROM10, FD, Precision=0.25, Recall=1.0
