HIT ID	Q	Candidates
		
2J5JKM05BMJTOZKMPXKPDRA8V1CDIW	q1	['3', '1', '5', '6', '2', '8', '9', '10', '4', '7']
2J5JKM05BMJTOZKMPXKPDRA8V1CDIW	q2	['1', '5', '3', '7', '6', '2', '9', '8', '10', '4']
		
231TUHYW2GTP39WXFMNM569ZVM3QL4	q1	['1', '3', '2', '5', '7', '9', '8', '6', '4', '10']
231TUHYW2GTP39WXFMNM569ZVM3QL4	q2	['2', '3', '4', '5', '1', '6', '7', '10', '8', '9']
		
2Q9J85OZIZEHGSWF95FQ9EWQ0JLYAX	q1	['3', '1', '4', '2', '5', '6', '8', '7', '10', '9']
2Q9J85OZIZEHGSWF95FQ9EWQ0JLYAX	q2	['1', '5', '2', '3', '4', '6', '10', '7', '8', '9']
		
2Z2MN9U8P9Y32BIMKZUSYYIN3HHVEG	q1	['6', '1', '5', '3', '8', '10', '2', '4', '7', '9']
2Z2MN9U8P9Y32BIMKZUSYYIN3HHVEG	q2	['3', '2', '1', '4', '5', '6', '7', '10', '9', '8']
		
2BXJ51Y7QEOZ9GCIOTJTQOFYVAECFD	q1	['4', '2', '6', '8', '7', '9', '5', '1', '3', '10']
2BXJ51Y7QEOZ9GCIOTJTQOFYVAECFD	q2	['5', '2', '4', '3', '8', '10', '7', '9', '6', '1']
		
2GH2MIKMN9U8JRKTVANW1I3TXW7RAP	q1	['7', '6', '3', '9', '5', '2', '4', '8', '1', '10']
2GH2MIKMN9U8JRKTVANW1I3TXW7RAP	q2	['4', '2', '5', '3', '7', '6', '1', '8', '9', '10']
		
29HVXX2Q45UUE8AO349W5NS9REP9RS	q1	['1', '5', '4', '2', '7', '3', '8', '6', '9', '10']
29HVXX2Q45UUE8AO349W5NS9REP9RS	q2	['3', '4', '6', '2', '5', '1', '10', '7', '9', '8']
		
20BUHYW2GTP9LSTISDD1A9YTRDWMR4	q1	['1', '3', '5', '2', '4', '6', '10', '8', '7', '9']
20BUHYW2GTP9LSTISDD1A9YTRDWMR4	q2	['6', '4', '1', '3', '9', '10', '8', '5', '7', '2']
